run,goal_id,result,time_sec,start_ns,end_ns,notes
1,4611ed3c5df61581ccfe34a87110cc63,S,12.661,1769343851800520200,1769343864461259261,A
2,32f89e49c8ef3534d41f67bf987bc34c,S,12.561,1769343942505619135,1769343955066626838,A
3,cc5e14df31a647e02580a8887f4a9db2,S,12.761,1769344057858338341,1769344070619164692,A
4,a3fe3bad1011cb432ada9140dd5099dd,S,12.561,1769344573425043110,1769344585985883331,A
5,bd8b545c99874cdc89aa75cfe1722756,S,12.761,1769344646101249012,1769344658862210020,A
6,38c21104109ae92c0be1dd1354c8c45d,S,12.961,1769344697958518654,1769344710919459262,A
7,efe55426dcd5d69c61c69d035e235883,S,13.505,1769344795778914156,1769344809284022434,A
8,20fa3af04cfaad0571ebdd5325367329,S,12.470,1769344873355980536,1769344885826002728,A
9,ec1b9ffcf7158032497dcd24d73810cf,S,12.561,1769344944454198954,1769344957015347688,A
10,761fdae2d342f00faabc3d153a050a73,S,12.561,1769345026090962505,1769345038651879976,A
